2025-12-26 03:14:10 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing AAPL...
2025-12-26 03:14:11 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing MSFT...
2025-12-26 03:14:11 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing GOOGL...
2025-12-26 03:14:11 | INFO     | strategy.swing_trading    | scan_watchlist       | Found 0 valid setups out of 3 symbols
2025-12-26 03:14:59 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing AAPL...
2025-12-26 03:15:00 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for AAPL
2025-12-26 03:15:00 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing MSFT...
2025-12-26 03:15:00 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for MSFT
2025-12-26 03:15:00 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing GOOGL...
2025-12-26 03:15:00 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for GOOGL
2025-12-26 03:15:00 | INFO     | strategy.swing_trading    | scan_watchlist       | Found 0 valid setups out of 3 symbols
2025-12-26 03:16:34 | INFO     | strategy.swing_trading    | scan_watchlist       | Found 0 valid setups out of 3 symbols
2025-12-26 03:18:28 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing AAPL...
2025-12-26 03:18:29 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for AAPL
2025-12-26 03:18:29 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing MSFT...
2025-12-26 03:18:29 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for MSFT
2025-12-26 03:18:29 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing GOOGL...
2025-12-26 03:18:29 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for GOOGL
2025-12-26 03:18:29 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing META...
2025-12-26 03:18:30 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for META
2025-12-26 03:18:30 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing TSLA...
2025-12-26 03:18:30 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for TSLA
2025-12-26 03:18:30 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing NVDA...
2025-12-26 03:18:30 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for NVDA
2025-12-26 03:18:30 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing AMD...
2025-12-26 03:18:30 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for AMD
2025-12-26 03:18:30 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing AVGO...
2025-12-26 03:18:30 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for AVGO
2025-12-26 03:18:30 | INFO     | strategy.swing_trading    | scan_watchlist       | Found 0 valid setups out of 8 symbols
2025-12-26 03:37:35 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing AAPL...
2025-12-26 03:37:36 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for AAPL
2025-12-26 03:37:36 | INFO     | strategy.swing_trading    | analyze_symbol       | Analyzing MSFT...
2025-12-26 03:37:36 | DEBUG    | strategy.swing_trading    | _analyze_daily       | No breakout detected for MSFT
